Gene,Mean_Normalized_Counts,condition-cKOvsaFL.log2FC,condition-cKOvsaFL.FC,condition-cKOvsaFL.RawP,condition-cKOvsaFL.FDR,cKO_A2.stabilized,cKO_E1.stabilized,cKO_F1.stabilized,cKO_G1.stabilized,cKO_H1.stabilized,FL_A1.stabilized,FL_B1.stabilized,FL_C1.stabilized,FL_D1.stabilized,miR-15/16 seed-match location,AHC reads
Wars,5049.427559,-0.038512417,0.973658383,0.631678908,0.819147884,12.27276292,12.30239471,12.15820111,12.38108452,12.41885843,12.41474976,12.23203383,12.30991897,12.43094338,3UTR,2
Wars2,284.3832802,-0.02083071,0.985664991,0.84392336,0.933326388,8.588517892,8.427491366,8.470190808,8.428928826,8.661219159,8.421225994,8.535083358,8.548397757,8.636422119,Not_3UTR,1
Was,5224.260524,-0.019147413,0.986815709,0.794393769,0.909866537,12.31548966,12.39532048,12.29329097,12.45277568,12.37167647,12.48565704,12.37208193,12.43114121,12.24551691,NA,NA
Wasf2,5882.844616,0.244215231,1.184448303,0.050599173,0.232404172,12.76683603,12.68561852,12.56546144,12.78993406,12.45861642,12.44695842,12.51321166,12.57393618,11.92762846,Not_3UTR,36
Wash1,1911.568298,-0.240692993,0.846338679,0.043110241,0.21320711,10.68942803,10.93561162,10.58189619,10.95721052,11.01895426,11.0720824,11.00377804,10.93554698,11.36282345,NA,NA
Wasl,605.1248667,-0.013599776,0.990617645,0.891401594,0.954961134,9.57220034,9.347256119,9.397276999,9.392692296,9.425944456,9.349244036,9.536584915,9.582514441,9.277761616,TS,15
Wbp1,1080.156073,-0.034053664,0.976672199,0.786147889,0.905356038,9.791447171,10.22738206,10.01098128,10.28964965,10.46033022,10.15158214,10.23477108,10.16344565,10.28598211,NA,NA
Wbp11,5237.806278,0.372731117,1.294801657,6.82e-5,0.002942772,12.55138934,12.61386198,12.51966669,12.57549464,12.43174903,12.33705449,12.14901888,12.18140336,11.89705593,TS,42
Wbp1l,2608.744522,0.001657935,1.001149853,0.985299997,0.994883062,11.39098192,11.40180936,11.16474421,11.40464164,11.59718348,11.4268692,11.40254101,11.3714949,11.38559331,3UTR,8
Wbp2,2530.39878,-0.089138641,0.940083858,0.272414336,0.54742458,11.22548617,11.41106846,11.1480956,11.38993903,11.37842032,11.42098359,11.40564347,11.32310647,11.46471016,NA,NA
Wbp4,2107.821478,0.012060765,1.008394927,0.871048621,0.945720984,11.10883498,11.0771675,11.15131222,11.0612493,11.13180056,11.11977403,10.97829881,11.0343467,11.23323735,NA,NA
Wbp5,1161.206412,-0.24373219,0.84455765,0.009252864,0.09053162,10.07299447,10.11307409,10.2266279,10.18237981,10.26954323,10.25155593,10.40891035,10.36941152,10.61199327,NA,NA
Wbscr16,950.7467744,0.003149093,1.002185169,0.970797711,0.989756308,10.03380095,10.00483089,9.990981637,9.968544671,10.10655599,10.02589179,9.886011094,9.960740589,10.18693948,NA,NA
Wbscr22,2339.125691,-0.206072346,0.866894091,0.096887285,0.323195261,11.11671098,11.17889008,11.098964519999999,11.03768324,11.26609374,11.4268692,11.03884204,11.18594448,11.71848007,Not_3UTR,0
Wbscr27,313.2144297,-0.367595991,0.77507295,0.010321267,0.096275195,8.236944454,8.495677643,8.20836126,8.645351148,8.697547306,8.562189765,8.984168514,8.90815196,8.789315069,NA,NA
Wdfy1,198.2885353,-0.06714126,0.954527548,0.631832289,0.819175507,8.190715394,8.184711834,8.296502896,7.982660829,7.842283282,8.345016726,8.016041989,8.229188057,8.047088701,3UTR,0
Wdfy2,50.61952621,0.540323803,1.454298888,0.003647194,0.05079537,7.25690339,6.924139044,7.24355427,7.076997954,7.010897783,6.891879941,6.787658561,6.822613591,6.331640244,NA,NA
Wdfy3,6.822247679,0.382931598,1.303988908,0.039814816,0.204873816,6.108525823,6.102301173,6.098825601,6.26424524,6.072965859,5.923646332,6.00750937,5.976399088,5.710928216,Not_3UTR,1
